timestamp,sample_idx,s1,s2,deg_s1,deg_s2,err32,s1x_raw,s1y_raw,node_count,conn,rm,iso,iso_id,ins,ins_id,fpga_ts_cycles,iter_us
2026-04-13 17:52:58.248,85,0,1,1,1,1017740,141,516,2,1,0,0,0,0,0,1332863,0.000
2026-04-13 17:52:58.249,86,1,0,1,1,933680,-294,-106,2,1,0,0,0,0,0,1347551,544.000
2026-04-13 17:52:58.249,87,1,0,1,1,1000499,-109,-367,2,1,0,0,0,0,0,1362239,544.000
2026-04-13 17:52:58.250,88,1,0,1,1,1021646,-97,-558,2,1,0,0,0,0,0,1376927,544.000
2026-04-13 17:52:58.250,89,0,1,1,1,1059935,-150,487,2,1,0,0,0,0,0,1391615,544.000
2026-04-13 17:52:58.250,90,1,0,1,1,1048095,114,-627,2,1,0,0,0,0,0,1406303,544.000
2026-04-13 17:52:58.250,91,1,0,1,1,1051290,201,-682,2,1,0,0,0,0,0,1420991,544.000
2026-04-13 17:52:58.252,92,0,1,1,1,1074861,-213,293,2,1,0,0,0,0,0,1435679,544.000
2026-04-13 17:52:58.252,93,0,1,1,1,1106454,-131,505,2,1,0,0,0,0,0,1450367,544.000
2026-04-13 17:52:58.252,94,1,0,1,1,1061964,30,-751,2,1,0,0,0,0,0,1465055,544.000
2026-04-13 17:52:58.253,95,0,1,1,1,1098957,-94,489,2,1,0,0,0,0,0,1479743,544.000
2026-04-13 17:52:58.253,96,0,1,1,1,1096509,-129,450,2,1,0,0,0,0,0,1494431,544.000
2026-04-13 17:52:58.253,97,0,1,1,1,1114423,-302,500,2,1,0,0,0,0,0,1509119,544.000
2026-04-13 17:52:58.254,98,0,1,1,1,1116855,-207,474,2,1,0,0,0,0,0,1523807,544.000
2026-04-13 17:52:58.254,99,1,0,1,1,1045137,50,-678,3,1,0,0,0,1,2,1538495,544.000
2026-04-13 17:52:58.261,0,2,1,2,1,619684,228,-71,3,1,0,0,0,0,2,1637823,3678.815
2026-04-13 17:52:58.261,1,2,1,2,1,620817,246,-141,3,1,0,0,0,0,2,1652510,543.963
2026-04-13 17:52:58.261,2,0,2,1,2,593875,43,516,3,1,0,0,0,0,2,1667198,544.000
2026-04-13 17:52:58.262,3,0,2,1,2,593409,5,479,3,1,0,0,0,0,2,1681886,544.000
2026-04-13 17:52:58.262,4,0,2,1,2,639341,-257,440,3,1,0,0,0,0,2,1696574,544.000
2026-04-13 17:52:58.262,5,2,1,2,1,614880,315,-132,3,1,0,0,0,0,2,1711262,544.000
2026-04-13 17:52:58.262,6,0,1,2,2,684934,-463,262,3,1,0,0,0,0,2,1725950,544.000
2026-04-13 17:52:58.263,7,0,1,2,2,697472,-449,114,3,1,0,0,0,0,2,1740643,544.185
2026-04-13 17:52:58.263,8,2,1,2,2,612754,354,-60,3,1,0,0,0,0,2,1755331,544.000
2026-04-13 17:52:58.263,9,2,0,2,2,668565,366,230,3,1,0,0,0,0,2,1770019,544.000
2026-04-13 17:52:58.263,10,2,0,2,2,686847,404,399,3,1,0,0,0,0,2,1784707,544.000
2026-04-13 17:52:58.263,11,1,2,2,2,529754,260,-653,3,1,0,0,0,0,2,1799395,544.000
2026-04-13 17:52:58.264,12,0,1,2,2,719380,-532,-99,3,1,0,0,0,0,2,1814083,544.000
2026-04-13 17:52:58.264,13,1,0,2,2,529078,200,-613,3,1,0,0,0,0,2,1828771,544.000
2026-04-13 17:52:58.264,14,1,2,2,2,531090,206,-537,3,1,0,0,0,0,2,1843459,544.000
2026-04-13 17:52:58.264,15,1,2,2,2,546437,360,-578,3,1,0,0,0,0,2,1858147,544.000
2026-04-13 17:52:58.264,16,0,1,2,2,712186,-487,-164,3,1,0,0,0,0,2,1872835,544.000
2026-04-13 17:52:58.340,17,2,0,2,2,709415,217,554,3,1,0,0,0,0,2,1887523,544.000
2026-04-13 17:52:58.341,18,0,1,2,2,722215,-632,-204,3,1,0,0,0,0,2,1902211,544.000
2026-04-13 17:52:58.341,19,0,2,2,2,732768,-714,-91,3,1,0,0,0,0,2,1916899,544.000
2026-04-13 17:52:58.341,20,1,2,2,2,543525,345,-472,3,1,0,0,0,0,2,1931587,544.000
2026-04-13 17:52:58.341,21,1,0,2,2,562285,265,-627,3,1,0,0,0,0,2,1946275,544.000
2026-04-13 17:52:58.342,22,1,2,2,2,611077,486,-469,3,1,0,0,0,0,2,1960963,544.000
2026-04-13 17:52:58.342,23,2,0,2,2,714862,67,653,3,1,0,0,0,0,2,1975651,544.000
2026-04-13 17:52:58.342,24,1,2,2,2,623514,629,-405,3,1,0,0,0,0,2,1990339,544.000
2026-04-13 17:52:58.342,25,0,1,2,2,739797,-554,-197,3,1,0,0,0,0,2,2005027,544.000
2026-04-13 17:52:58.342,26,1,2,2,2,623771,560,-353,3,1,0,0,0,0,2,2019715,544.000
2026-04-13 17:52:58.343,27,0,2,2,2,737510,-497,-157,3,1,0,0,0,0,2,2034403,544.000
2026-04-13 17:52:58.343,28,2,1,2,2,714375,127,523,3,1,0,0,0,0,2,2049091,544.000
2026-04-13 17:52:58.344,29,2,0,2,2,717965,36,490,3,1,0,0,0,0,2,2063779,544.000
2026-04-13 17:52:58.344,30,0,2,2,2,728986,-496,-147,3,1,0,0,0,0,2,2078467,544.000
2026-04-13 17:52:58.344,31,0,1,2,2,769246,-391,-374,3,1,0,0,0,0,2,2093155,544.000
2026-04-13 17:52:58.344,32,2,1,2,2,747830,268,458,3,1,0,0,0,0,2,2107843,544.000
2026-04-13 17:52:58.344,33,0,1,2,2,773643,-507,-415,3,1,0,0,0,0,2,2122531,544.000
2026-04-13 17:52:58.344,34,1,0,2,2,613870,435,-364,3,1,0,0,0,0,2,2137219,544.000
2026-04-13 17:52:58.345,35,0,1,2,2,773606,-418,-440,3,1,0,0,0,0,2,2151907,544.000
2026-04-13 17:52:58.345,36,1,2,2,2,612757,410,-296,3,1,0,0,0,0,2,2166595,544.000
2026-04-13 17:52:58.345,37,0,2,2,2,815954,-581,-231,3,1,0,0,0,0,2,2181283,544.000
2026-04-13 17:52:58.345,38,1,0,2,2,617668,292,-322,3,1,0,0,0,0,2,2195971,544.000
2026-04-13 17:52:58.345,39,2,1,2,2,766634,474,347,3,1,0,0,0,0,2,2210659,544.000
2026-04-13 17:52:58.346,40,1,0,2,2,619741,200,-363,3,1,0,0,0,0,2,2225347,544.000
2026-04-13 17:52:58.346,41,0,1,2,2,811572,-532,-135,3,1,0,0,0,0,2,2240035,544.000
2026-04-13 17:52:58.346,42,0,2,2,2,823565,-470,-1,3,1,0,0,0,0,2,2254723,544.000
2026-04-13 17:52:58.346,43,2,0,2,2,794334,301,513,3,1,0,0,0,0,2,2269411,544.000
2026-04-13 17:52:58.346,44,2,1,2,2,792459,282,475,3,1,0,0,0,0,2,2284099,544.000
