timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 17:52:12.946,0,0,2,1,0
2026-04-13 17:52:12.946,0,1,2,1,0
2026-04-13 17:52:13.013,1,0,1,1,0
2026-04-13 17:52:13.013,1,0,2,4,3
2026-04-13 17:52:13.013,1,1,2,1,0
2026-04-13 17:52:13.046,2,0,2,1,0
2026-04-13 17:52:13.046,2,0,3,1,0
2026-04-13 17:52:13.046,2,1,2,1,0
2026-04-13 17:52:13.046,2,1,3,1,0
2026-04-13 17:52:13.057,3,0,2,14,13
2026-04-13 17:52:13.057,3,0,3,1,0
2026-04-13 17:52:13.057,3,1,2,1,0
2026-04-13 17:52:13.057,3,1,3,3,2
2026-04-13 17:52:13.057,3,2,3,20,19
2026-04-13 17:52:13.078,4,0,2,3,2
2026-04-13 17:52:13.078,4,0,3,1,0
2026-04-13 17:52:13.078,4,1,2,1,0
2026-04-13 17:52:13.078,4,1,3,20,19
2026-04-13 17:52:13.078,4,2,4,1,0
2026-04-13 17:52:13.078,4,3,4,1,0
2026-04-13 17:52:13.101,5,0,2,26,25
2026-04-13 17:52:13.101,5,0,3,1,0
2026-04-13 17:52:13.101,5,0,4,2,1
2026-04-13 17:52:13.101,5,1,2,1,0
2026-04-13 17:52:13.101,5,1,3,40,39
2026-04-13 17:52:13.101,5,1,4,3,2
2026-04-13 17:52:13.101,5,2,4,1,0
2026-04-13 17:52:13.101,5,3,4,2,1
2026-04-13 17:52:13.138,6,0,2,44,43
2026-04-13 17:52:13.138,6,0,4,4,3
2026-04-13 17:52:13.138,6,0,5,1,0
2026-04-13 17:52:13.138,6,1,2,1,0
2026-04-13 17:52:13.138,6,1,3,25,24
2026-04-13 17:52:13.138,6,1,4,1,0
2026-04-13 17:52:13.138,6,2,4,4,3
2026-04-13 17:52:13.138,6,3,4,9,8
2026-04-13 17:52:13.138,6,3,5,1,0
2026-04-13 17:52:13.160,7,0,4,3,2
2026-04-13 17:52:13.160,7,0,5,2,1
2026-04-13 17:52:13.160,7,1,2,1,0
2026-04-13 17:52:13.160,7,1,3,43,42
2026-04-13 17:52:13.160,7,1,4,2,1
2026-04-13 17:52:13.160,7,2,4,2,1
2026-04-13 17:52:13.160,7,3,4,4,3
2026-04-13 17:52:13.160,7,3,5,1,0
2026-04-13 17:52:13.160,7,4,5,13,12
2026-04-13 17:52:13.193,8,0,4,13,12
2026-04-13 17:52:13.193,8,0,5,1,0
2026-04-13 17:52:13.193,8,1,2,1,0
2026-04-13 17:52:13.193,8,1,6,1,0
2026-04-13 17:52:13.193,8,2,4,4,3
